CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12427,21,3,75.36,1,Occasional Shoppers
12428,25,9,769.4800000000001,4,High-Value Loyal Shoppers
12429,9,4,161.18,3,Regular Shoppers
12430,43,1,9.959999999999999,1,Occasional Shoppers
12431,35,15,1119.2800000000002,2,Inactive Shoppers
12432,42,5,885.1,4,High-Value Loyal Shoppers
12433,0,7,198.95999999999998,3,Regular Shoppers
12434,84,2,32.7,1,Occasional Shoppers
12435,79,2,464.4,3,Regular Shoppers
12436,99,1,12.600000000000001,1,Occasional Shoppers
12437,1,18,685.61,2,Inactive Shoppers
12438,14,2,36.4,1,Occasional Shoppers
12441,366,1,10.5,0,Frequent Shoppers
12442,3,1,17.4,1,Occasional Shoppers
12444,21,5,202.51,3,Regular Shoppers
12445,22,1,30.0,1,Occasional Shoppers
12446,57,1,6.8,1,Occasional Shoppers
12447,243,1,19.5,0,Frequent Shoppers
12448,44,1,19.799999999999997,1,Occasional Shoppers
12449,22,4,121.5,3,Regular Shoppers
12450,156,2,76.2,0,Frequent Shoppers
12451,10,5,61.620000000000005,3,Regular Shoppers
12452,16,2,99.8,1,Occasional Shoppers
12453,134,1,19.799999999999997,1,Occasional Shoppers
12454,56,1,183.6,1,Occasional Shoppers
12455,73,6,109.37,3,Regular Shoppers
12456,44,3,58.980000000000004,1,Occasional Shoppers
12457,66,7,814.0,4,High-Value Loyal Shoppers
12458,71,2,45.12,1,Occasional Shoppers
12461,94,2,213.52,3,Regular Shoppers
12462,18,2,22.46,1,Occasional Shoppers
12463,53,4,88.86000000000001,3,Regular Shoppers
12464,10,8,259.4,4,High-Value Loyal Shoppers
12465,17,2,25.800000000000004,1,Occasional Shoppers
12468,187,2,48.60000000000001,0,Frequent Shoppers
12472,32,7,103.66,3,Regular Shoppers
12473,29,5,119.32,3,Regular Shoppers
12474,17,18,313.5,4,High-Value Loyal Shoppers
12475,53,1,30.24,1,Occasional Shoppers
12476,15,11,523.9,4,High-Value Loyal Shoppers
12477,22,6,249.3,3,Regular Shoppers
12478,3,1,135.0,1,Occasional Shoppers
12479,11,1,13.200000000000001,1,Occasional Shoppers
12480,28,4,59.04,1,Occasional Shoppers
12481,22,10,196.56,4,High-Value Loyal Shoppers
12483,17,8,346.3,4,High-Value Loyal Shoppers
12484,32,6,436.20000000000005,4,High-Value Loyal Shoppers
12488,9,3,50.25000000000001,1,Occasional Shoppers
12489,336,1,36.0,0,Frequent Shoppers
12490,5,10,361.38,4,High-Value Loyal Shoppers
12491,38,1,15.600000000000001,1,Occasional Shoppers
12492,63,2,29.1,1,Occasional Shoppers
12493,165,2,41.46,0,Frequent Shoppers
12494,15,7,90.41,3,Regular Shoppers
12497,81,1,177.60000000000002,1,Occasional Shoppers
12498,21,3,41.050000000000004,1,Occasional Shoppers
12500,23,11,1216.59,2,Inactive Shoppers
12501,336,1,8.5,0,Frequent Shoppers
12502,95,5,299.9,3,Regular Shoppers
12504,18,2,144.14999999999998,1,Occasional Shoppers
12506,232,1,7.95,0,Frequent Shoppers
12507,134,3,101.95,1,Occasional Shoppers
12508,26,2,10.8,1,Occasional Shoppers
12509,284,1,49.5,0,Frequent Shoppers
12510,142,2,195.72,1,Occasional Shoppers
12512,66,2,13.9,1,Occasional Shoppers
12513,112,1,8.5,1,Occasional Shoppers
12514,267,1,35.7,0,Frequent Shoppers
12515,353,1,17.0,0,Frequent Shoppers
12516,77,2,145.28,1,Occasional Shoppers
12517,28,5,110.25,3,Regular Shoppers
12518,0,5,117.0,3,Regular Shoppers
12519,63,1,30.599999999999998,1,Occasional Shoppers
12520,79,5,60.339999999999996,1,Occasional Shoppers
12521,142,1,15.299999999999999,1,Occasional Shoppers
12522,39,2,34.22,1,Occasional Shoppers
12523,19,11,197.82,4,High-Value Loyal Shoppers
12524,9,8,453.23,4,High-Value Loyal Shoppers
12526,0,3,56.2,1,Occasional Shoppers
12527,81,3,102.10000000000001,1,Occasional Shoppers
12528,9,6,137.55,3,Regular Shoppers
12530,59,4,193.5,3,Regular Shoppers
12531,14,1,4.35,1,Occasional Shoppers
12532,30,1,9.36,1,Occasional Shoppers
12534,130,1,16.5,1,Occasional Shoppers
12535,91,2,61.550000000000004,1,Occasional Shoppers
12538,29,1,39.8,1,Occasional Shoppers
12539,22,4,52.830000000000005,1,Occasional Shoppers
12540,19,17,632.98,2,Inactive Shoppers
12541,29,3,75.4,1,Occasional Shoppers
12544,36,1,25.5,1,Occasional Shoppers
12545,75,2,34.9,1,Occasional Shoppers
12546,46,2,42.6,1,Occasional Shoppers
12547,197,2,50.4,0,Frequent Shoppers
12548,166,1,17.4,0,Frequent Shoppers
12550,79,1,20.8,1,Occasional Shoppers
12551,357,1,19.5,0,Frequent Shoppers
12552,38,2,133.52,1,Occasional Shoppers
12553,8,10,255.97,4,High-Value Loyal Shoppers
12556,50,2,14.19,1,Occasional Shoppers
12557,16,5,1165.24,2,Inactive Shoppers
12558,7,1,5.04,1,Occasional Shoppers
12559,310,2,90.10000000000001,0,Frequent Shoppers
12560,5,3,188.2,3,Regular Shoppers
12561,302,1,12.600000000000001,0,Frequent Shoppers
12562,8,7,185.34,3,Regular Shoppers
12564,261,1,23.4,0,Frequent Shoppers
12565,288,1,5.04,0,Frequent Shoppers
12566,86,1,15.0,1,Occasional Shoppers
12567,22,10,202.44,4,High-Value Loyal Shoppers
12571,39,2,20.159999999999997,1,Occasional Shoppers
12572,8,2,74.4,1,Occasional Shoppers
12573,227,1,8.4,0,Frequent Shoppers
12574,315,1,15.0,0,Frequent Shoppers
12576,35,5,77.58,3,Regular Shoppers
12577,35,3,13.4,1,Occasional Shoppers
12578,21,2,65.4,1,Occasional Shoppers
12579,78,1,15.9,1,Occasional Shoppers
12580,246,1,19.799999999999997,0,Frequent Shoppers
12581,39,1,8.5,1,Occasional Shoppers
12582,238,2,23.799999999999997,0,Frequent Shoppers
12583,2,15,617.8,2,Inactive Shoppers
12584,3,9,140.4,3,Regular Shoppers
12585,234,2,68.93,0,Frequent Shoppers
12586,17,1,24.96,1,Occasional Shoppers
12587,7,1,20.8,1,Occasional Shoppers
12588,39,1,32.849999999999994,1,Occasional Shoppers
12589,28,2,27.4,1,Occasional Shoppers
12590,211,2,760.6,4,High-Value Loyal Shoppers
12591,317,1,15.299999999999999,0,Frequent Shoppers
12592,92,2,42.0,1,Occasional Shoppers
12593,108,3,52.8,1,Occasional Shoppers
12594,37,10,368.28000000000003,4,High-Value Loyal Shoppers
12596,51,2,76.74,1,Occasional Shoppers
12597,19,4,115.94,3,Regular Shoppers
12598,9,8,198.88,3,Regular Shoppers
12599,29,7,206.08,3,Regular Shoppers
12600,28,10,289.2,4,High-Value Loyal Shoppers
12601,189,5,178.20000000000002,0,Frequent Shoppers
12602,58,1,23.9,1,Occasional Shoppers
12603,21,1,613.1999999999999,4,High-Value Loyal Shoppers
12604,79,2,45.300000000000004,1,Occasional Shoppers
12607,60,1,19.799999999999997,1,Occasional Shoppers
12609,78,3,49.56,1,Occasional Shoppers
12610,22,5,239.79999999999998,3,Regular Shoppers
12611,52,1,15.9,1,Occasional Shoppers
12612,74,1,62.550000000000004,1,Occasional Shoppers
12613,57,5,140.43,3,Regular Shoppers
12614,277,1,9.95,0,Frequent Shoppers
12615,2,4,235.04,3,Regular Shoppers
12616,95,2,29.799999999999997,1,Occasional Shoppers
12617,29,1,25.0,1,Occasional Shoppers
12618,21,1,15.0,1,Occasional Shoppers
12619,16,9,930.43,2,Inactive Shoppers
12620,14,3,48.3,1,Occasional Shoppers
12621,1,20,613.68,2,Inactive Shoppers
12623,276,1,15.6,0,Frequent Shoppers
12624,106,2,25.5,1,Occasional Shoppers
12625,211,2,99.8,0,Frequent Shoppers
12626,23,9,192.20000000000002,3,Regular Shoppers
12627,10,7,201.97,3,Regular Shoppers
12628,4,3,57.84,1,Occasional Shoppers
12630,9,2,53.10000000000001,1,Occasional Shoppers
12631,57,1,19.8,1,Occasional Shoppers
12633,58,4,247.68,3,Regular Shoppers
12635,89,2,27.36,1,Occasional Shoppers
12637,67,8,213.62,3,Regular Shoppers
12638,33,1,9.36,1,Occasional Shoppers
12639,238,1,15.0,0,Frequent Shoppers
12640,23,3,63.18,1,Occasional Shoppers
12641,115,1,14.850000000000001,1,Occasional Shoppers
12642,25,3,136.3,3,Regular Shoppers
12643,128,6,237.36,3,Regular Shoppers
12644,129,1,17.4,1,Occasional Shoppers
12645,33,4,166.5,3,Regular Shoppers
12646,4,2,66.84,1,Occasional Shoppers
12647,22,12,422.28000000000003,4,High-Value Loyal Shoppers
12648,154,1,10.2,0,Frequent Shoppers
12649,107,3,104.10000000000001,1,Occasional Shoppers
12650,3,1,4.68,1,Occasional Shoppers
12651,334,1,7.800000000000001,0,Frequent Shoppers
12652,331,1,10.2,0,Frequent Shoppers
12653,148,2,50.4,1,Occasional Shoppers
12654,10,5,75.1,3,Regular Shoppers
12656,17,5,180.04,3,Regular Shoppers
12657,11,4,153.9,3,Regular Shoppers
12658,18,1,13.200000000000001,1,Occasional Shoppers
12659,29,1,15.0,1,Occasional Shoppers
12660,11,1,19.799999999999997,1,Occasional Shoppers
12662,0,11,205.10000000000002,4,High-Value Loyal Shoppers
12665,324,1,30.0,0,Frequent Shoppers
12667,58,1,14.850000000000001,1,Occasional Shoppers
12668,11,4,75.66000000000001,3,Regular Shoppers
12669,150,3,1170.3,2,Inactive Shoppers
12670,10,5,280.14,3,Regular Shoppers
12672,329,1,19.5,0,Frequent Shoppers
12673,5,2,11.049999999999999,1,Occasional Shoppers
12674,38,4,236.57999999999998,3,Regular Shoppers
12676,24,6,229.59,3,Regular Shoppers
12679,58,4,202.32,3,Regular Shoppers
12680,0,4,65.16,3,Regular Shoppers
12681,14,22,749.96,2,Inactive Shoppers
12682,3,31,1258.94,2,Inactive Shoppers
12683,4,15,505.24,4,High-Value Loyal Shoppers
12684,7,7,181.68,3,Regular Shoppers
12685,28,6,142.82,3,Regular Shoppers
12686,371,1,17.4,0,Frequent Shoppers
12688,113,1,75.0,1,Occasional Shoppers
12689,25,2,49.599999999999994,1,Occasional Shoppers
12690,205,1,24.96,0,Frequent Shoppers
12691,28,6,383.4,4,High-Value Loyal Shoppers
12693,127,4,75.64,1,Occasional Shoppers
12694,70,2,20.28,1,Occasional Shoppers
12695,7,4,102.65,3,Regular Shoppers
12697,28,3,174.85,3,Regular Shoppers
12700,7,4,66.0,3,Regular Shoppers
12701,79,2,32.4,1,Occasional Shoppers
12702,19,1,25.200000000000003,1,Occasional Shoppers
12703,71,1,6.8,1,Occasional Shoppers
12704,7,8,315.78,4,High-Value Loyal Shoppers
12705,15,9,223.98,4,High-Value Loyal Shoppers
12707,291,1,12.600000000000001,0,Frequent Shoppers
12708,29,10,173.7,3,Regular Shoppers
12709,15,15,532.25,4,High-Value Loyal Shoppers
12710,96,3,35.08,1,Occasional Shoppers
12712,28,13,564.95,4,High-Value Loyal Shoppers
12713,0,1,54.0,1,Occasional Shoppers
12714,9,5,72.08,3,Regular Shoppers
12715,106,1,12.5,1,Occasional Shoppers
12716,3,2,28.8,1,Occasional Shoppers
12717,151,2,30.0,1,Occasional Shoppers
12718,71,1,9.36,1,Occasional Shoppers
12719,5,2,30.200000000000003,1,Occasional Shoppers
12720,2,25,489.11,2,Inactive Shoppers
12721,31,6,108.5,3,Regular Shoppers
12722,85,4,52.71,1,Occasional Shoppers
12723,3,5,70.17,3,Regular Shoppers
12724,5,4,85.84,3,Regular Shoppers
12725,371,1,15.0,0,Frequent Shoppers
12726,28,7,173.1,3,Regular Shoppers
12727,10,7,178.0,3,Regular Shoppers
12728,71,4,83.59,1,Occasional Shoppers
12729,113,1,25.200000000000003,1,Occasional Shoppers
12731,23,12,1412.76,2,Inactive Shoppers
12732,179,1,33.2,0,Frequent Shoppers
12733,234,1,27.650000000000002,0,Frequent Shoppers
12734,352,1,8.4,0,Frequent Shoppers
12735,315,2,62.15,0,Frequent Shoppers
12736,332,1,90.0,0,Frequent Shoppers
12738,372,1,17.4,0,Frequent Shoppers
12739,78,2,57.3,1,Occasional Shoppers
12740,63,1,13.200000000000001,1,Occasional Shoppers
12743,134,2,18.25,1,Occasional Shoppers
12747,2,11,689.49,4,High-Value Loyal Shoppers
12749,3,5,98.35,3,Regular Shoppers
12750,128,1,15.0,1,Occasional Shoppers
12752,81,1,15.9,1,Occasional Shoppers
12753,22,6,846.42,4,High-Value Loyal Shoppers
12754,235,3,125.46,0,Frequent Shoppers
12756,86,1,61.199999999999996,1,Occasional Shoppers
12758,116,2,90.06,1,Occasional Shoppers
12759,52,3,54.6,1,Occasional Shoppers
12762,7,2,35.599999999999994,1,Occasional Shoppers
12763,138,2,102.3,1,Occasional Shoppers
12764,316,1,17.4,0,Frequent Shoppers
12766,3,7,148.56,3,Regular Shoppers
12769,238,1,175.2,0,Frequent Shoppers
12770,210,1,69.12,0,Frequent Shoppers
12772,59,1,6.8,1,Occasional Shoppers
12775,17,5,117.39999999999999,3,Regular Shoppers
12778,19,6,107.10000000000001,3,Regular Shoppers
12779,37,8,327.1,4,High-Value Loyal Shoppers
12781,63,2,55.98,1,Occasional Shoppers
12782,4,5,111.98,3,Regular Shoppers
12783,2,6,654.38,4,High-Value Loyal Shoppers
12784,9,2,76.8,1,Occasional Shoppers
12785,364,1,16.5,0,Frequent Shoppers
12787,9,3,124.2,3,Regular Shoppers
12789,65,1,39.95,1,Occasional Shoppers
12790,192,1,10.08,0,Frequent Shoppers
12791,373,1,177.60000000000002,0,Frequent Shoppers
12792,256,1,15.0,0,Frequent Shoppers
12793,334,2,50.7,0,Frequent Shoppers
12794,53,2,20.279999999999998,1,Occasional Shoppers
12797,365,1,15.0,0,Frequent Shoppers
12802,186,1,13.0,0,Frequent Shoppers
12808,36,3,42.599999999999994,1,Occasional Shoppers
12809,177,1,17.700000000000003,0,Frequent Shoppers
12811,260,3,58.5,0,Frequent Shoppers
12812,44,1,10.2,1,Occasional Shoppers
12814,101,1,85.92,1,Occasional Shoppers
12815,147,2,35.25,1,Occasional Shoppers
12816,95,2,35.550000000000004,1,Occasional Shoppers
12817,281,1,39.599999999999994,0,Frequent Shoppers
12818,261,1,302.40000000000003,0,Frequent Shoppers
12820,3,4,58.2,3,Regular Shoppers
12821,214,1,19.92,0,Frequent Shoppers
12822,70,2,30.799999999999997,1,Occasional Shoppers
12824,59,1,5.04,1,Occasional Shoppers
12826,2,7,122.80000000000001,3,Regular Shoppers
12827,5,3,84.21000000000001,1,Occasional Shoppers
12828,2,6,154.8,3,Regular Shoppers
12829,336,2,95.80000000000001,0,Frequent Shoppers
12831,262,1,34.199999999999996,0,Frequent Shoppers
12832,32,2,19.9,1,Occasional Shoppers
12833,145,1,15.0,1,Occasional Shoppers
12834,282,1,15.9,0,Frequent Shoppers
12836,59,4,29.05,1,Occasional Shoppers
12837,173,1,17.0,0,Frequent Shoppers
12838,33,2,11.4,1,Occasional Shoppers
12839,2,14,233.91,4,High-Value Loyal Shoppers
12840,143,4,138.6,1,Occasional Shoppers
12841,4,25,328.74,2,Inactive Shoppers
12842,70,2,22.8,1,Occasional Shoppers
12843,65,8,123.2,3,Regular Shoppers
12844,29,2,8.7,1,Occasional Shoppers
12845,267,4,284.79999999999995,0,Frequent Shoppers
12847,22,1,1.17,1,Occasional Shoppers
12849,31,2,44.699999999999996,1,Occasional Shoppers
12851,96,1,4.16,1,Occasional Shoppers
12852,294,1,17.4,0,Frequent Shoppers
12853,134,6,202.20000000000002,3,Regular Shoppers
12854,78,3,158.29999999999998,3,Regular Shoppers
12855,372,1,17.700000000000003,0,Frequent Shoppers
12856,7,6,44.58,3,Regular Shoppers
12857,210,2,53.400000000000006,0,Frequent Shoppers
12863,52,1,340.0,3,Regular Shoppers
12864,138,1,17.4,1,Occasional Shoppers
12865,26,2,40.54,1,Occasional Shoppers
12866,283,1,6.3,0,Frequent Shoppers
12867,26,7,53.74,3,Regular Shoppers
12868,185,6,123.95,0,Frequent Shoppers
12871,84,2,178.2,1,Occasional Shoppers
12872,326,2,50.0,0,Frequent Shoppers
12873,282,1,68.0,0,Frequent Shoppers
12875,143,2,343.2300000000001,3,Regular Shoppers
12876,57,2,86.49999999999999,1,Occasional Shoppers
12877,3,12,365.79,4,High-Value Loyal Shoppers
12878,236,2,45.0,0,Frequent Shoppers
12879,44,3,192.71999999999997,3,Regular Shoppers
12881,275,1,195.0,0,Frequent Shoppers
12882,9,2,283.2,3,Regular Shoppers
12883,24,4,71.85,3,Regular Shoppers
12884,88,1,170.0,1,Occasional Shoppers
12885,63,3,43.400000000000006,1,Occasional Shoppers
12886,67,2,33.5,1,Occasional Shoppers
12888,214,2,106.56,0,Frequent Shoppers
12890,24,1,10.5,1,Occasional Shoppers
12891,185,3,331.0,0,Frequent Shoppers
12893,30,1,3.75,1,Occasional Shoppers
12895,42,2,34.8,1,Occasional Shoppers
12897,204,2,116.0,0,Frequent Shoppers
12902,264,1,17.700000000000003,0,Frequent Shoppers
12904,18,2,11.899999999999999,1,Occasional Shoppers
12906,11,5,206.76,3,Regular Shoppers
12908,176,2,750.0,4,High-Value Loyal Shoppers
12909,39,5,125.88,3,Regular Shoppers
12910,23,8,362.76,4,High-Value Loyal Shoppers
12912,2,5,365.34000000000003,3,Regular Shoppers
12913,4,5,410.76000000000005,4,High-Value Loyal Shoppers
12915,148,2,38.4,1,Occasional Shoppers
12916,138,4,186.79999999999998,3,Regular Shoppers
12917,128,1,297.0,3,Regular Shoppers
12919,8,6,267.4,3,Regular Shoppers
12920,17,1,7.95,1,Occasional Shoppers
12922,161,1,13.2,0,Frequent Shoppers
12923,64,1,12.48,1,Occasional Shoppers
12924,88,4,166.62000000000003,3,Regular Shoppers
12925,4,2,25.5,1,Occasional Shoppers
12928,35,5,127.04,3,Regular Shoppers
12929,311,1,17.0,0,Frequent Shoppers
12930,78,2,25.2,1,Occasional Shoppers
12933,24,3,58.3,1,Occasional Shoppers
12935,2,7,106.03,3,Regular Shoppers
12936,17,4,164.14000000000001,3,Regular Shoppers
12937,15,4,37.95,1,Occasional Shoppers
12938,25,1,9.48,1,Occasional Shoppers
12940,54,2,25.3,1,Occasional Shoppers
12942,131,3,41.25,1,Occasional Shoppers
12944,35,2,39.699999999999996,1,Occasional Shoppers
12945,288,1,25.5,0,Frequent Shoppers
12947,143,6,244.1,3,Regular Shoppers
12948,16,7,207.9,3,Regular Shoppers
12949,30,8,113.96000000000001,3,Regular Shoppers
12950,2,3,143.4,3,Regular Shoppers
12951,8,6,101.04,3,Regular Shoppers
12952,5,4,71.31,3,Regular Shoppers
12953,9,1,35.400000000000006,1,Occasional Shoppers
12955,1,11,279.94,4,High-Value Loyal Shoppers
12956,306,1,3.75,0,Frequent Shoppers
12957,9,8,129.66,3,Regular Shoppers
12962,7,2,37.650000000000006,1,Occasional Shoppers
12963,8,8,185.15,3,Regular Shoppers
12965,89,1,8.25,1,Occasional Shoppers
12966,9,1,15.0,1,Occasional Shoppers
12967,358,2,145.5,0,Frequent Shoppers
12968,112,1,15.0,1,Occasional Shoppers
12970,7,4,25.05,1,Occasional Shoppers
12974,197,1,15.9,0,Frequent Shoppers
12976,211,1,19.8,0,Frequent Shoppers
12977,156,1,8.5,0,Frequent Shoppers
12981,29,2,54.48,1,Occasional Shoppers
12982,242,1,10.4,0,Frequent Shoppers
12984,18,1,30.0,1,Occasional Shoppers
12985,0,2,49.2,1,Occasional Shoppers
12987,73,2,37.2,1,Occasional Shoppers
12988,292,1,4.25,0,Frequent Shoppers
12990,31,3,120.9,3,Regular Shoppers
12991,23,2,65.0,1,Occasional Shoppers
12993,23,4,64.15,1,Occasional Shoppers
12994,4,3,61.2,1,Occasional Shoppers
12995,85,1,38.160000000000004,1,Occasional Shoppers
12997,22,4,98.28,3,Regular Shoppers
12999,196,3,107.03999999999999,0,Frequent Shoppers
13000,106,3,107.07000000000001,1,Occasional Shoppers
13001,4,13,898.37,2,Inactive Shoppers
13002,318,1,15.0,0,Frequent Shoppers
13003,105,3,98.5,1,Occasional Shoppers
13004,11,18,260.2,4,High-Value Loyal Shoppers
13005,173,2,37.3,0,Frequent Shoppers
13006,56,1,31.8,1,Occasional Shoppers
13008,323,1,15.0,0,Frequent Shoppers
13011,372,1,15.0,0,Frequent Shoppers
13012,9,8,145.47,3,Regular Shoppers
13013,1,13,271.7,4,High-Value Loyal Shoppers
13014,10,10,454.9,4,High-Value Loyal Shoppers
13015,53,5,113.7,3,Regular Shoppers
13016,73,3,64.56,1,Occasional Shoppers
13017,7,1,204.0,3,Regular Shoppers
13018,16,28,552.38,2,Inactive Shoppers
13021,4,9,232.3,4,High-Value Loyal Shoppers
13023,64,2,47.7,1,Occasional Shoppers
13026,1,5,244.55999999999997,3,Regular Shoppers
13028,22,2,29.279999999999998,1,Occasional Shoppers
13029,30,3,1131.0,2,Inactive Shoppers
13030,11,2,6.6899999999999995,1,Occasional Shoppers
13032,52,2,19.0,1,Occasional Shoppers
13034,54,2,34.8,1,Occasional Shoppers
13035,73,2,117.0,1,Occasional Shoppers
13037,138,3,38.400000000000006,1,Occasional Shoppers
13038,80,3,219.0,3,Regular Shoppers
13040,8,2,21.84,1,Occasional Shoppers
13043,273,1,59.8,0,Frequent Shoppers
13045,99,1,17.4,1,Occasional Shoppers
13046,30,2,39.71,1,Occasional Shoppers
13047,31,10,203.53,4,High-Value Loyal Shoppers
13048,14,4,47.5,1,Occasional Shoppers
13049,64,2,106.19999999999999,1,Occasional Shoppers
13050,14,17,317.87,4,High-Value Loyal Shoppers
13052,212,1,23.85,0,Frequent Shoppers
13055,78,3,43.08,1,Occasional Shoppers
13058,24,3,172.8,3,Regular Shoppers
13059,249,1,17.700000000000003,0,Frequent Shoppers
13060,253,1,35.400000000000006,0,Frequent Shoppers
13061,72,1,9.959999999999999,1,Occasional Shoppers
13062,191,1,60.48,0,Frequent Shoppers
13064,12,4,85.65,3,Regular Shoppers
13065,373,1,17.4,0,Frequent Shoppers
13066,24,2,30.200000000000003,1,Occasional Shoppers
13067,82,1,7.95,1,Occasional Shoppers
13068,10,2,344.0,3,Regular Shoppers
13069,0,24,315.36,2,Inactive Shoppers
13070,192,1,20.8,0,Frequent Shoppers
13072,266,1,15.0,0,Frequent Shoppers
13075,129,1,47.2,1,Occasional Shoppers
13077,1,4,32.45,1,Occasional Shoppers
13078,3,26,1258.08,2,Inactive Shoppers
13079,4,5,202.4,3,Regular Shoppers
13080,179,1,3.3600000000000003,0,Frequent Shoppers
13081,11,11,327.94000000000005,4,High-Value Loyal Shoppers
13082,126,9,247.8,4,High-Value Loyal Shoppers
13083,4,2,51.0,1,Occasional Shoppers
13085,157,2,77.0,0,Frequent Shoppers
13090,8,14,752.4399999999999,2,Inactive Shoppers
13091,28,1,17.700000000000003,1,Occasional Shoppers
13092,70,5,84.1,3,Regular Shoppers
13093,275,8,796.9,4,High-Value Loyal Shoppers
13094,21,12,882.0600000000001,2,Inactive Shoppers
13095,70,1,9.36,1,Occasional Shoppers
13097,32,10,271.91,4,High-Value Loyal Shoppers
13099,99,1,207.35999999999999,1,Occasional Shoppers
13101,234,1,9.95,0,Frequent Shoppers
13102,1,24,792.34,2,Inactive Shoppers
13103,39,1,51.0,1,Occasional Shoppers
13104,3,6,434.64,4,High-Value Loyal Shoppers
13106,133,1,76.5,1,Occasional Shoppers
13107,44,4,162.96,3,Regular Shoppers
13108,372,1,34.8,0,Frequent Shoppers
13109,59,2,25.5,1,Occasional Shoppers
13110,31,7,87.78999999999999,3,Regular Shoppers
13115,11,4,57.6,3,Regular Shoppers
13116,138,1,25.5,1,Occasional Shoppers
13117,21,8,108.86,3,Regular Shoppers
13118,19,5,140.68,3,Regular Shoppers
13120,238,1,30.599999999999998,0,Frequent Shoppers
13121,269,1,7.6499999999999995,0,Frequent Shoppers
13122,94,2,48.56999999999999,1,Occasional Shoppers
13124,89,3,52.5,1,Occasional Shoppers
13126,4,8,142.07,3,Regular Shoppers
13127,77,1,34.68,1,Occasional Shoppers
13130,94,1,39.0,1,Occasional Shoppers
13131,23,3,46.4,1,Occasional Shoppers
13132,261,1,15.299999999999999,0,Frequent Shoppers
13133,273,2,29.75,0,Frequent Shoppers
13134,85,4,125.03999999999999,3,Regular Shoppers
13136,56,5,115.30000000000001,3,Regular Shoppers
13137,10,8,31.84,3,Regular Shoppers
13138,22,6,91.82000000000001,3,Regular Shoppers
13139,16,7,330.34000000000003,4,High-Value Loyal Shoppers
13140,108,3,35.15,1,Occasional Shoppers
13141,84,5,84.7,3,Regular Shoppers
13142,19,1,20.16,1,Occasional Shoppers
13144,332,1,63.75,0,Frequent Shoppers
13145,39,4,577.6,4,High-Value Loyal Shoppers
13146,26,1,10.08,1,Occasional Shoppers
